GR,DTCO,RES,RHOB
74.62144,160.4088,1.712741,2.117471
76.72144,162.8523,1.695081,2.098875
74.55,166.1442,1.699376,2.080269
81.44183,153.5074,2.371778,2.113462
78.15,153.4217,2.291296,2.102363
75,153.0328,2.296504,2.081333
76.35,152.6587,2.322975,2.08788
75.89276,153.083,2.293825,2.104822
78.43499,153.8968,2.303268,2.124043
78.88499,154.2782,2.352662,2.121899
77.83496,154.5393,2.312539,2.129056
76.33503,154.5777,2.26123,2.137803
71.38503,154.592,2.161591,2.115436
73.34231,153.7079,2.196867,2.096634
72.3,152.7818,2.196268,2.093055
71.24999,150.729,2.18695,2.115636
69.14999,148.6776,2.212575,2.119145
69.89629,148.0684,2.173392,2.118926
76.2713,149.2823,2.22677,2.120154
79.5713,150.9267,2.325512,2.120337
82.27096,151.7608,2.371763,2.105513
81.59595,153.0406,2.395374,2.08464
79.64597,155.2207,2.40135,2.069551
78.36763,156.7847,2.365827,2.072325
81.81763,156.3192,2.338841,2.080649
86.46763,153.9533,2.337415,2.101028
84.52121,152.9407,2.274854,2.094912
81.96363,153.8779,2.083071,2.098019
74.83514,156.5357,2.022763,2.087111
81.81393,159.269,2.038088,2.097934
80.31776,160.3468,1.845649,2.102434
82.45991,160.2991,1.817276,2.098675
71.65337,158.1954,1.948741,2.093811
71.64993,157.1193,1.992408,2.09902
70.03628,157.6787,1.955699,2.093292
77.53729,159.8833,1.879204,2.082985
79.04449,160.8375,1.768853,2.073286
82.64449,161.5323,1.78667,2.083128
81.14585,161.1085,1.764603,2.09907
72.74585,158.8278,1.80349,2.097953
70.49203,157.7441,1.835558,2.08548
70.4172,158.9361,1.851989,2.091284
75.96719,160.355,1.861995,2.087512
75.82102,161.0195,1.900504,2.101982
76.57499,161.895,1.942942,2.087821
78.51735,163.0424,1.884364,2.089084
81.06735,164.2647,1.653103,2.080211
82.49236,163.7771,1.689482,2.083297
81.44291,162.1586,1.714267,2.08952
77.99291,160.8494,1.890365,2.086979
73.34291,160.0994,1.925084,2.083316
73.05,159.306,1.855911,2.084125
76.8,158.5928,1.826441,2.098214
79.18463,157.4605,1.765221,2.107564
81.12713,156.4645,1.813518,2.109369
79.91962,155.9885,1.87323,2.090266
79.185,155.0897,1.880658,2.072151
81.5925,154.2984,1.840324,2.069063
79.19999,154.2075,1.815702,2.065475
80.25,154.2176,1.791664,2.063101
82.34167,154.5661,1.835575,2.042518
86.24168,155.8307,1.837304,2.042132
83.38815,157.6139,1.851845,2.033794
80.3886,158.1487,1.818585,2.031909
83.52993,157.8433,1.875819,2.028356
81.12701,155.9298,1.838678,2.03874
82.78488,154.7746,1.791918,2.06291
77.5362,154.638,1.831063,2.09557
79.6287,155.584,1.807063,2.10691
73.17203,157.5571,1.818675,2.084615
76.10437,160.2845,1.804951,2.046079
80.09332,161.8785,1.784599,2.036244
85.04208,161.9119,1.782214,2.058998
82.26709,160.906,1.756523,2.075299
81.59208,159.9096,1.780495,2.078369
81.07104,159.8347,1.755282,2.066978
80.47104,160.1132,1.80961,2.076425
76.27103,160.8823,1.812662,2.065364
77.47499,161.8179,1.796649,2.05326
77.77499,162.6092,1.78518,2.045946
80.02499,162.6403,1.748206,2.058931
75.74999,161.8313,1.743733,2.068954
76.49249,161.7795,1.784698,2.064194
83.6925,161.5439,1.827072,2.072442
89.09249,159.9677,1.848032,2.081568
92.02499,158.3673,1.853606,2.085234
87.225,156.1788,1.822566,2.075113
83.175,153.5303,1.788735,2.075707
84.14999,151.6237,1.804512,2.068706
84.44999,150.8413,1.852051,2.064901
85.19276,151.4604,1.792632,2.053727
82.63905,155.7675,1.815972,2.062346
78.73233,160.8311,1.86574,2.0633
79.93957,161.6062,1.896944,2.070644
80.38564,161.6113,1.86603,2.078651
81.89234,161.7114,1.850667,2.085
80.52735,162.353,1.812047,2.088248
80.52705,163.6364,1.797535,2.076438
82.61914,163.0554,1.795518,2.07082
85.48413,161.1094,1.768772,2.060321
86.60885,160.7132,1.773604,2.054275
85.41677,161.1384,1.777532,2.044278
82.26676,161.5841,1.780407,2.037437
81.675,162.6067,1.778914,2.037426
85.425,162.9732,1.805593,2.048511
86.62499,162.3353,1.82108,2.050947
84.74999,160.1525,1.851727,2.045568
82.49999,159.7628,1.819243,2.03464
84.74999,160.2022,1.800968,2.037471
86.85,160.4623,1.781725,2.044199
89.4,160.4757,1.861406,2.048541
86.77134,158.1989,1.923849,2.044528
89.1629,155.6354,1.821791,2.053605
86.38419,154.4181,1.805645,2.058947
87.65929,154.0896,1.84752,2.071039
83.01773,154.6625,1.805003,2.070446
81.66782,155.0382,1.743503,2.071574
79.57137,156.0807,1.776661,2.063883
79.78875,157.3566,1.768074,2.06284
80.60957,158.2576,1.744737,2.064049
81.88457,160.7904,1.724823,2.063857
78.6672,161.4633,1.803523,2.062554
76.125,163.8091,1.846781,2.064053
75.74999,166.4743,1.849947,2.064413
78.14257,166.6137,1.853949,2.061092
78.21362,165.9326,1.920915,2.057935
80.14735,165.4798,1.922786,2.060832
82.24682,162.6702,1.86017,2.069339
85.47578,163.823,1.754528,2.069499
83.54205,168.3337,1.75242,2.064517
82.04242,168.2612,1.812683,2.04753
80.53481,166.1269,1.812852,2.043487
80.68481,164.0993,1.864639,2.040354
80.24238,163,1.905704,2.044071
83.55,162.3973,1.886145,2.043357
84.3,161.7981,1.90328,2.05097
88.19999,161.1989,1.93149,2.061641
86.77499,160.5997,1.94403,2.06366
88.26675,159.9923,1.924127,2.061794
88.93771,159.2888,1.94779,2.057316
89.7627,159.0473,2.021628,2.057571
87.37095,158.5063,2.024595,2.056926
85.94205,157.5044,2.066102,2.065488
84.28417,157.261,1.995762,2.067956
84.88416,157.1064,2.045792,2.069157
82.78822,157.1012,2.042995,2.064877
80.61377,157.5067,2.042689,2.061779
81.05585,157.7945,2.082241,2.06236
81.58093,157.1517,2.195715,2.06676
80.60617,155.4817,2.198318,2.075325
78.65666,154.8347,2.209702,2.093931
76.00803,152.3289,2.197449,2.113556
79.7571,150.2481,2.166825,2.132506
78.93952,150.0131,2.175706,2.124004
80.69198,149.8598,2.166122,2.112007
79.24234,149.6981,2.130186,2.107721
79.91734,149.5449,2.154884,2.105359
81.03972,149.652,2.179957,2.1039
78.44285,151.5149,2.104121,2.093846
78.29285,152.7164,2.153498,2.103904
77.57546,152.9335,2.160385,2.106462
78.70499,153.2004,2.156811,2.108353
78.70499,153.0344,2.141948,2.097996
77.17499,152.4856,2.068612,2.103103
79.27106,152.7627,2.094326,2.116763
79.04223,153.8602,2.152947,2.110537
81.14223,154.3646,2.154613,2.099189
81.06307,156.8343,2.06805,2.071774
83.46294,159.6911,1.979145,2.059971
87.81293,162.4508,1.982543,2.036643
90.59193,164.8161,1.97018,2.03724
93.29156,165.5542,1.97219,2.033197
93.29156,165.3765,1.99811,2.038014
93.36215,165.3248,1.999481,2.026587
88.94149,165.9624,2.023438,2.030587
86.91648,166.2116,1.998097,2.020914
83.84615,165.8975,1.977381,2.020472
84.44616,165.6157,1.921446,2.020586
80.17115,164.597,1.812034,2.029725
79.87499,163.0685,1.770045,2.039184
77.925,162.1847,1.7871,2.043045
78.44999,160.8043,1.812063,2.05682
76.125,159.1657,1.91291,2.076151
76.86768,157.4326,1.960919,2.096583
71.69269,155.8413,1.850294,2.121906
72.59269,155.4252,1.900554,2.121149
74.77499,155.5826,1.939709,2.120884
80.77499,156.0452,1.942021,2.109774
84.51675,156.1503,1.908278,2.118523
84.06281,155.9571,1.898976,2.112141
83.76281,155.7552,1.898753,2.110155
78.67106,155.5847,1.874547,2.101813
76.34283,155.5916,1.919067,2.099012
77.75983,155.72,1.877518,2.081929
76.85983,155.8767,1.872746,2.079267
76.64199,156.0157,1.88781,2.075594
72.82499,156.5508,1.896399,2.091973
75.675,157.3457,1.910124,2.092106
77.1,158.0144,1.885393,2.105057
64.52912,206.6321,0.934327,1.764747
65.20412,206.5066,0.933853,1.759436
66.45,206.7259,0.922385,1.759436
62.25,207.2872,0.92433,1.762401
62.09999,207.5913,0.948593,1.793566
58.8,207.8625,0.918107,1.784474
61.4198,208.0628,0.921705,1.73138
59.9198,208.0824,0.912739,1.720208
61.56981,207.7319,0.929053,1.70925
61.2,207.4315,0.94198,1.705299
58.65,207.7054,0.933383,1.709818
59.4,207.8103,0.934875,1.7114
57.99698,207.5972,0.928675,1.747468
62.64135,207.9511,0.919823,1.764218
58.89135,208.5664,0.866003,1.73307
60.29437,208.509,0.880346,1.670277
59.39999,208.509,0.906478,1.650581
63.59999,208.0534,0.884078,1.662802
65.7,207.1423,0.922118,1.678724
65.8,206.6868,0.913646,1.682743
64.75,207.5979,0.925447,1.677915
60.25,208.509,0.889123,1.68416
57.5,208.509,0.900814,1.693491
58.28759,206.6868,0.979242,1.703881
65.63758,206.2312,0.98318,1.722389
69.33759,206.2312,0.971464,1.727187
69.89999,207.3414,0.960581,1.736644
67.24772,207.5001,0.942372,1.728666
62.97272,207.4963,0.992611,1.734511
64.39773,207.3096,0.989961,1.740562
60.825,206.781,1.012765,1.752469
63.67179,206.6621,1.000754,1.754351
62.54024,206.7545,1.002267,1.760449
65.69024,206.742,1.025778,1.77019
64.64063,206.5625,1.008338,1.783746
65.31864,206.1789,0.99,1.786116
63.96864,206.0948,1.022766,1.795125
67.03974,206.2117,1.028373,1.799102
65.99329,206.255,1.010916,1.810033
67.4121,206.198,1.023843,1.802745
65.91537,205.9998,1.005282,1.801524
66.74036,205.7984,0.994458,1.801574
65.77155,205.705,1.020098,1.811374
61.72499,205.7185,1.024738,1.824351
59.175,205.7128,1.032119,1.825499
58.94381,205.5515,1.041406,1.831253
62.68755,204.9967,1.055328,1.833925
61.47631,204.6943,1.021963,1.841578
59.90749,204.9324,1.014251,1.846242
59.61375,205.2064,1.030129,1.830867
62.925,205.561,1.017308,1.820547
65.85,205.7614,1.041769,1.797103
66.15,205.8347,1.035889,1.794562
64.5,205.8138,1.035085,1.789515
64.725,205.6666,1.061573,1.79359
64.71873,205.3663,1.082222,1.792872
64.26873,205.3496,1.09106,1.790359
62.99373,205.3413,1.114224,1.793669
64.2,205.2045,1.152896,1.789326
66.6,204.9853,1.187346,1.778398
63.21928,204.2751,1.140361,1.768129
60.06928,203.7577,1.180717,1.751526
60.96928,204.1686,1.171949,1.76039
63.3,204.8185,1.24743,1.759713
65.25,204.0697,1.271401,1.792513
62.4,202.7801,1.271771,1.780225
62.84389,202.0543,1.225045,1.807436
61.93785,202.0434,1.343737,1.785145
61.43785,202.9994,1.341919,1.815114
59.24205,203.1668,1.340841,1.796158
56.47007,202.7829,1.301879,1.806178
53.66737,202.334,1.313412,1.795947
